hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_053,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15274s,15274,15484,As Jc,8c 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_054,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15656s,15656,15866,Kc Td,3s 3c,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_055,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=15872s,15872,16082,As Td,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_057,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16350s,16350,16560,Kh 5d,4s 2h,Jh 5c,
hcl_ivey_dwan_garrett_058,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16562s,16562,16772,Kh Jc,4s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_059,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=16799s,16799,17009,As Qc,3s 3c,Jh 7h Ah 3d,
hcl_ivey_dwan_garrett_060,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17026s,17026,17236,As 9c,3s 6d,Jh 5c Ah,
hcl_ivey_dwan_garrett_061,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17424s,17424,17634,5h 5d,8h 6d,5c Ah 3d,
hcl_ivey_dwan_garrett_062,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=17646s,17646,17856,As 9c,4s 2h,Jh 5c Ah,
hcl_ivey_dwan_garrett_064,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18170s,18170,18380,Kh Td,8h 3c,6c Js,
hcl_ivey_dwan_garrett_065,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=18443s,18443,18653,Kh Td,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_067,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19040s,19040,19250,Kh 9c,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_068,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19253s,19253,19463,Kh Td,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_069,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19474s,19474,19684,Kh 3h,3s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_070,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=19729s,19729,19939,Kh Td,8d 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_071,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20037s,20037,20247,As Jc,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_072,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20445s,20445,20655,Kh 9c,4s 6d,,
hcl_ivey_dwan_garrett_073,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20722s,20722,20932,As Td,3s 3c,Jh 5c Ah,
hcl_ivey_dwan_garrett_074,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=20939s,20939,21149,Kh Td,3s 3c,Jh 5c Ah Js,
