hand_id,top_player,bottom_player,top_cards,bottom_cards,board,winner,actions
hcl_ivey_dwan_garrett_dense_092,unknown,MATT,As Td,4s 2h,Jh 2c,,unknown bet | MATT call | unknown bet | MATT call | MATT call | MATT raise | MATT check | LUCKY bet | DYLAN call
hcl_ivey_dwan_garrett_dense_093,unknown,GARRETT,As 3h,4s 2h,Jh 5c Ah Js,,GARRETT raise | unknown call | GARRETT bet | DYLAN call
hcl_ivey_dwan_garrett_dense_094,unknown,GARRETT,Kh Td,8d 6d,Jh 5c Ah 2c,,unknown check
hcl_ivey_dwan_garrett_dense_095,unknown,KRISH,Kh 3h,3s 6d,Jh 5c 6c Js,,unknown check | KRISH call | KRISH raise | unknown call | KRISH bet | unknown bet | KRISH call
hcl_ivey_dwan_garrett_dense_097,GARRETT,unknown,Kh Jc,3s 6d,Jh 7h Ah Js,,GARRETT raise | unknown call | GARRETT bet | unknown call | GARRETT fold | unknown bet
hcl_ivey_dwan_garrett_dense_098,KRISH,MATT,As Jc,8c 3c,Jh 5c 6c Js,,KRISH check | KRISH check | KRISH call | MATT bet | KRISH call | MATT bet | KRISH bet | MATT call | KRISH bet | KRISH call
hcl_ivey_dwan_garrett_dense_099,KRISH,unknown,5h 2d,4s 3c,Jh 5c Ah,,KRISH bet | unknown call | KRISH check | unknown check | unknown fold
hcl_ivey_dwan_garrett_dense_100,unknown,GARRETT,Kc Td,3s 3c,Jh 5c 6c Js 5s,unknown,unknown raise | GARRETT call | unknown bet | GARRETT call | unknown bet | GARRETT call | unknown check | unknown raise | GARRETT call | unknown check | GARRETT raise
hcl_ivey_dwan_garrett_dense_101,unknown,GARRETT,As 7s,4s 2h,Jh 5c 6c Js,,unknown raise | GARRETT call | unknown call | GARRETT bet | GARRETT bet | unknown check | unknown call | GARRETT bet
hcl_ivey_dwan_garrett_dense_102,unknown,GARRETT,As 3h,4s 2h,Jh 5c 6c Js,,unknown call | GARRETT bet | unknown call | GARRETT bet | GARRETT bet | unknown call | GARRETT bet | unknown call | GARRETT bet | unknown raise | unknown raise | GARRETT call | GARRETT call
hcl_ivey_dwan_garrett_dense_105,DYLAN,unknown,As Td,4s 2h,6c,,DYLAN raise | unknown call | unknown fold | unknown call | DYLAN call | unknown call | DYLAN call | unknown bet | GARRETT raises | GARRETT fold | DYLAN raise | DYLAN call
hcl_ivey_dwan_garrett_dense_106,DYLAN,LUCKY,Kh 5d,4s 2h,Jh 5c,,DYLAN call | LUCKY raise | DYLAN call | LUCKY bet | DYLAN bet | LUCKY call | DYLAN bet | LUCKY call | DYLAN call | LUCKY raise | DYLAN raise | DYLAN call | LUCKY all in
hcl_ivey_dwan_garrett_dense_108,DYLAN,unknown,Kh Jc,4s 6d,Jh 5c 6c Js,,DYLAN call | unknown raise | DYLAN call | unknown raise | unknown call | DYLAN check | unknown check
hcl_ivey_dwan_garrett_dense_109,KRISH,GARRETT,Kh 3h,8h 3c,Jh 5c Ah Js,,GARRETT call | KRISH check | GARRETT check | KRISH call | GARRETT bet | KRISH call | GARRETT bet
hcl_ivey_dwan_garrett_dense_110,unknown,unknown,As Qc,3s 6d,Jh 5c Ah 3d,,unknown call | unknown fold | unknown raise | unknown call | GARRETT call
hcl_ivey_dwan_garrett_dense_111,MATT,unknown,As Qc,3s 6d,Jh 7h 2c Js,,unknown call | MATT raise | unknown call | MATT call | MATT call | unknown bet | GARRETT call
hcl_ivey_dwan_garrett_dense_112,MATT,unknown,5h 5d,3s 3c,Jh 7h 2c,,MATT check | MATT call | MATT call | MATT call | unknown call
hcl_ivey_dwan_garrett_dense_113,unknown,MATT,5h 5d,8h 6d,5c Ah 3d,,unknown check | MATT raise
hcl_ivey_dwan_garrett_dense_115,LUCKY,GARRETT,As 9c,8h 6d,Jh 5c 6c Js,,LUCKY check | GARRETT folds
hcl_ivey_dwan_garrett_dense_116,GARRETT,unknown,Kh Td,4s 3c,Jh 5c Ah,,GARRETT check | unknown call | unknown raise
