site,player,n_hands,m,sd,bb100,se,lo,hi
PS,cqkEOrzupUyDsTmMt2VNTA,7194,-0.22335575051317785,8.35236691293302,-22.335575051317786,9.847462769813404,-41.63660208015206,-3.034548022483513
PS,+cLURCBdMHWO0aHHnCRbbA,5450,-0.22340902315367253,6.674894245766658,-22.340902315367252,9.041617659129797,-40.06247292726165,-4.619331703472852
IPN,EdtgmNqG3Ek8GFyHD1J66A,6492,-0.22395178646271566,2.4227932763068765,-22.395178646271567,3.006956214220927,-28.288812826144586,-16.50154446639855
PTY,XtXFHmQEsUNdEdKyM6s0VQ,5622,-0.22553148747222018,22.600109001560355,-22.553148747222018,30.141517478725746,-81.63052300552448,36.524225511080445
PS,e/J7RmDBB0EDfcl/Z1FNxA,10406,-0.22616367034331986,9.519672735546342,-22.616367034331986,9.332115555119318,-40.90731352236585,-4.325420546298126
IPN,ghHSaZPFQLHL0Ntc/+IL4g,7470,-0.22706693409277573,3.3773794538515354,-22.706693409277573,3.9076850748631933,-30.365756156009432,-15.047630662545714
PS,nSNVJCL3icaxaxvmiNQfDw,5265,-0.22716998612580702,9.900162310308598,-22.716998612580703,13.644044494991242,-49.45932582276353,4.02532859760213
PTY,Aer5+WObKzQek/1Hq5C/mg,5867,-0.2298540964466111,10.3689802126768,-22.985409644661107,13.53717370221768,-49.51827010100776,3.5474508116855468
ONG,QfzRHaaeVwDxCfdChr+VTw,7200,-0.22995457245761322,14.057223865750787,-22.995457245761322,16.566597200216258,-55.465987758185186,9.475073266662541
PS,QsZeQMg7XS2lwUk1JTQLZA,5682,-0.2300272789501527,5.240800789442916,-23.00272789501527,6.952596687175133,-36.629817401878526,-9.375638388152009
ONG,2Gq0O27QL/mrmDpzVA78jQ,6610,-0.23006959030638574,14.522923148191017,-23.006959030638573,17.862955217142986,-58.01835125623883,12.004433194961681
PS,CFV/4VHItXpDPEpfktqM1Q,6817,-0.23288248937308692,13.054399330895123,-23.28824893730869,15.811033051601369,-54.277873718447374,7.701375843829993
IPN,7eLRwU2lkUW/YMEaG2cYFw,6078,-0.23305733741683057,1.9622523243597079,-23.305733741683056,2.5169495136611264,-28.238954788458862,-18.37251269490725
IPN,67/6xfLhDLC0I9bS1yAVvg,7947,-0.23394362460266377,5.747530629079551,-23.394362460266375,6.447326854706541,-36.031123095491196,-10.757601825041554
IPN,gWAtFDnQKDp4QIcJL0Lxlw,5607,-0.23422730532435782,3.511265445432281,-23.422730532435782,4.689195985947477,-32.61355466489284,-14.231906399978728
PS,8qMHxHwujZCshA+qJrCYvA,6683,-0.23575405765798088,6.015535075868035,-23.575405765798088,7.358487100559169,-37.998040482894055,-9.152771048702117
IPN,Hc6pQIA83ISpjBFDVX+Jcg,5058,-0.2361753659551914,3.250624869971502,-23.61753659551914,4.570644474899542,-32.57599976632224,-14.65907342471604
PS,7YgkXlT28W/Yw8RtVBqCmw,15505,-0.2362638643558051,7.21666406235742,-23.62638643558051,5.795629361525471,-34.98581998417043,-12.266952886990588
PS,uNv/a+IT+BITloY+xX1ddA,5234,-0.23643556338573715,10.916960536722625,-23.643556338573717,15.089848559158064,-53.21965951452352,5.932546837376087
FTP,PtZ5CoFHHtSyOoeaelBuMg,10083,-0.23740371545885902,13.722266513863056,-23.740371545885903,13.665671171166537,-50.525087041372316,3.04434394960051
ABS,pwDVQ1QvWrUq1ENAKwtJgw,18389,-0.2397640946714858,9.360815160012104,-23.976409467148578,6.902948181710972,-37.506187903302084,-10.446631030995073
PTY,CT4M+Rmj+fcy7+Mva2fujw,5574,-0.24055256249445248,9.45826307606017,-24.055256249445247,12.668579096840675,-48.885671279252975,0.775158780362478
PTY,aStFJc5W///M+Pm80nzRRQ,18744,-0.24114239203806836,13.733293850918182,-24.114239203806836,10.030984860654696,-43.77496953069004,-4.453508876923632
PS,V5G3+ggTU947C2/S2rlvWw,9951,-0.2412342983795439,10.84494494326299,-24.12342983795439,10.871613103981883,-45.43179152175888,-2.815068154149902
IPN,WIydVM7edASQLSq/pzs+yg,8514,-0.24141707336619786,5.181910879110563,-24.141707336619785,5.615948500942554,-35.14896639846719,-13.13444827477238
ABS,2rmHbthZ159g3a9Y4AK2hg,5106,-0.2426402948787994,8.672253486807833,-24.26402948787994,12.136446853332222,-48.0514653204111,-0.47659365534878617
PS,k7i9kyWCx/oFP/h7zoE7RA,20020,-0.2427456284874118,9.992903621368187,-24.27456284874118,7.062519537018355,-38.117101141297155,-10.432024556185205
ONG,bgBwqdGntJDuduO0c8wpWw,18679,-0.24282192855664933,15.420395700624706,-24.282192855664935,11.282847213160744,-46.39657339345999,-2.1678123178698776
PS,BaywaN1fcjnplpO6QdJpIA,6882,-0.24389893834638027,12.978121845616549,-24.389893834638027,15.644241556163129,-55.05260728471776,6.272819615441705
PS,c72LliFjQkU5Gg+D+wW8LQ,5019,-0.24448595188734754,10.666244688210156,-24.448595188734753,15.05576906059336,-53.95790254749774,5.060712170028232
ONG,9cScctIWMzVzsJpX5/kAMw,17604,-0.2451204735676952,12.059562994037973,-24.51204735676952,9.089204827875387,-42.32688881940528,-6.697205894133763
ONG,ISr5enqW4D4sH1KPv6SSrA,5533,-0.24556004939462464,12.95106974741822,-24.556004939462465,17.411063809110637,-58.68169000531931,9.569680126394385
ONG,Sz38kwOqnMtVEGZ/rG4V6Q,6885,-0.2456831891622635,12.397816592208752,-24.56831891622635,14.94146682944209,-53.85359390193285,4.716956069480148
PS,aBaqPK4lAexgNwjpaaULiA,9641,-0.24976729084926452,12.677335943069929,-24.976729084926454,12.911210377053417,-50.28270142395115,0.32924325409824107
IPN,XF2xo0/aMlHq2Jh9PnfSlw,6830,-0.2507769642602298,3.32323810354979,-25.077696426022978,4.0211577138938015,-32.95916554525483,-17.196227306791126
ONG,LCP+wmqBFd6IqQGvPK6sZg,8813,-0.251417270487156,12.49885563266535,-25.1417270487156,13.313994301480497,-51.237155879617376,0.9537017821861724
IPN,4jbL9/C6mkeLt4hURCRvxA,10952,-0.2523554297173607,4.457539963467946,-25.23554297173607,4.259400994024621,-33.583968920024326,-16.887117023447814
IPN,/GtS/BNu7wNgxTND59EudQ,11856,-0.2526585670255939,4.9317626412812965,-25.265856702559393,4.529320689594838,-34.143325254165276,-16.38838815095351
PTY,daDIaRkDCLS8rNgSL4rS/g,6087,-0.2563023651509875,17.93021522713897,-25.630236515098748,22.981789995929326,-70.67454490712022,19.41407187692273
PTY,QPxx7ncSy5Nq3tZrWj3xGA,9568,-0.2571097416106306,13.628538635015959,-25.71097416106306,13.93280973116072,-53.01928123413807,1.5973329120119502
IPN,nvs2ktmOw5Tzr3QYSrelQw,5473,-0.2581789704839817,3.351167497627117,-25.81789704839817,4.52984572350277,-34.6963946664636,-16.93939943033274
IPN,XcbV7oaww6BXqDnBSWQAEw,6437,-0.2625291226201682,5.981154463506022,-26.25291226201682,7.454924743445123,-40.86456475916926,-11.64125976486438
PTY,gGmz7DKXmCSJRGny1ig+PA,5602,-0.2634343116634626,10.890617445198103,-26.34343116634626,14.550601628216066,-54.86261035764975,2.1757480249572296
FTP,INMR8MqLbW87S6m/kCjFUA,5909,-0.26553562200738706,11.82180567069927,-26.553562200738707,15.378954819436181,-56.69631364683362,3.5891892453562093
PS,zeEEWwdhHBZX6mo6uRC5Qw,9528,-0.26555212024766656,9.506891426813194,-26.555212024766657,9.73952237950893,-45.644675888604155,-7.465748160929156
IPN,oPvv57ELmFH/YS4FjMTDAw,6026,-0.2661059015302851,3.172665029379113,-26.61059015302851,4.087047244076777,-34.62120275141899,-18.59997755463803
ABS,iJAW3EblFvQQ08NiDCumuQ,5599,-0.2664052799203009,9.101569525212403,-26.640527992030087,12.163569954822337,-50.48112510348187,-2.799930880578305
PS,ddrNXAtrJ6sWjPqPjvmtIw,10308,-0.268537745476752,11.926295577365046,-26.8537745476752,11.746767246513782,-49.87743835084221,-3.8301107445081897
PTY,K/KhhnR0bXoUqCp+r2AUdA,5270,-0.2691356740595041,7.767235494822031,-26.91356740595041,10.699442893867571,-47.88447547793085,-5.942659333969971
ONG,n0iZAt0ItCuErEdzlKo3DA,6166,-0.27188371241750015,11.007629432635397,-27.188371241750016,14.018193181308138,-54.66402987711396,0.2872873936139335
PS,oz7lMxLKT1l5f8+vVB7RCQ,15459,-0.27204309381099745,8.68860632541279,-27.204309381099744,6.9881049941695155,-40.900995169671994,-13.507623592527494
PS,ve1LEJosAmuFjNNCQuPnPg,15061,-0.2733122783719041,9.364344276842694,-27.331227837190408,7.630455566874646,-42.28692074826471,-12.375534926116101
ONG,6WKBJRSlPz4z0vpxrvKD0w,17122,-0.27415537146641245,15.72787230141305,-27.415537146641245,12.019675084725217,-50.974100312702674,-3.85697398057982
